execution	cohort	cohort_sort	dependence	dependence_sort	model	model_sort	independence
1	female_male	1	vitamin_d_log	1	1	1	neuroticism;sex_y;age;body_log;assessment_region;assessment_season;medication_vitamin_d
1	female_male	1	vitamin_d_imputation_log	2	1	1	neuroticism;sex_y;age;body_log;assessment_region;assessment_season;medication_vitamin_d
1	female_male	1	vitamin_d_log	1	2	2	neuroticism_log;sex_y;age;body_log;assessment_region;assessment_season;medication_vitamin_d
1	female_male	1	vitamin_d_imputation_log	2	2	2	neuroticism_log;sex_y;age;body_log;assessment_region;assessment_season;medication_vitamin_d
1	female_male	1	vitamin_d_log	1	3	3	depression_control_case_loose;sex_y;age;body_log;assessment_region;assessment_season;medication_vitamin_d
1	female_male	1	vitamin_d_imputation_log	2	3	3	depression_control_case_loose;sex_y;age;body_log;assessment_region;assessment_season;medication_vitamin_d
1	female_male	1	vitamin_d_log	1	4	4	depression_control_case_strict;sex_y;age;body_log;assessment_region;assessment_season;medication_vitamin_d
1	female_male	1	vitamin_d_imputation_log	2	4	4	depression_control_case_strict;sex_y;age;body_log;assessment_region;assessment_season;medication_vitamin_d
1	female_male	1	vitamin_d_log	1	5	5	bipolar_control_case_loose;sex_y;age;body_log;assessment_region;assessment_season;medication_vitamin_d
1	female_male	1	vitamin_d_imputation_log	2	5	5	bipolar_control_case_loose;sex_y;age;body_log;assessment_region;assessment_season;medication_vitamin_d
1	female_male	1	vitamin_d_log	1	6	6	bipolar_control_case_strict;sex_y;age;body_log;assessment_region;assessment_season;medication_vitamin_d
1	female_male	1	vitamin_d_imputation_log	2	6	6	bipolar_control_case_strict;sex_y;age;body_log;assessment_region;assessment_season;medication_vitamin_d
1	female_male	1	vitamin_d_log	1	7	7	alcohol_frequency;sex_y;age;body_log;assessment_region;assessment_season;medication_vitamin_d
1	female_male	1	vitamin_d_imputation_log	2	7	7	alcohol_frequency;sex_y;age;body_log;assessment_region;assessment_season;medication_vitamin_d
1	female_male	1	vitamin_d_log	1	8	8	alcohol_current;sex_y;age;body_log;assessment_region;assessment_season;medication_vitamin_d
1	female_male	1	vitamin_d_imputation_log	2	8	8	alcohol_current;sex_y;age;body_log;assessment_region;assessment_season;medication_vitamin_d
1	female_male	1	vitamin_d_log	1	9	9	alcoholism_control_case_any;sex_y;age;body_log;assessment_region;assessment_season;medication_vitamin_d
1	female_male	1	vitamin_d_imputation_log	2	9	9	alcoholism_control_case_any;sex_y;age;body_log;assessment_region;assessment_season;medication_vitamin_d
1	female_male	1	vitamin_d_log	1	10	10	alcoholism_control_case_1;sex_y;age;body_log;assessment_region;assessment_season;medication_vitamin_d
1	female_male	1	vitamin_d_imputation_log	2	10	10	alcoholism_control_case_1;sex_y;age;body_log;assessment_region;assessment_season;medication_vitamin_d
0	female	2	vitamin_d_log	1	1	1	neuroticism;age;body_log;menopause_ordinal;hormone_alteration;assessment_season;assessment_region;medication_vitamin_d
0	female	2	vitamin_d_imputation_log	2	1	1	neuroticism;age;body_log;menopause_ordinal;hormone_alteration;assessment_season;assessment_region;medication_vitamin_d
0	female	2	vitamin_d_log	1	2	2	neuroticism_log;age;body_log;menopause_ordinal;hormone_alteration;assessment_season;assessment_region;medication_vitamin_d
0	female	2	vitamin_d_imputation_log	2	2	2	neuroticism_log;age;body_log;menopause_ordinal;hormone_alteration;assessment_season;assessment_region;medication_vitamin_d
